index,key,value
2010-11-05T20:18:33Z,Type 1 Departments - Major A&E,267.142
2010-11-12T20:46:21Z,Type 1 Departments - Major A&E,256.893
2010-11-19T21:13:39Z,Type 1 Departments - Major A&E,260.958
2010-11-26T21:41:27Z,Type 1 Departments - Major A&E,256.061
2010-12-03T22:09:16Z,Type 1 Departments - Major A&E,245.842
2010-12-10T22:37:05Z,Type 1 Departments - Major A&E,273.068
2010-12-17T23:04:22Z,Type 1 Departments - Major A&E,266.059
2010-12-24T23:32:11Z,Type 1 Departments - Major A&E,244.799
2011-01-01T00:00:00Z,Type 1 Departments - Major A&E,279.547
2011-01-08T00:27:49Z,Type 1 Departments - Major A&E,260.138
2011-01-15T00:55:38Z,Type 1 Departments - Major A&E,253.937
2011-01-22T01:22:55Z,Type 1 Departments - Major A&E,250.833
2011-01-29T01:50:44Z,Type 1 Departments - Major A&E,251.079
2011-02-05T02:18:33Z,Type 1 Departments - Major A&E,266.161
2011-02-12T02:46:21Z,Type 1 Departments - Major A&E,274.118
2011-02-19T03:13:39Z,Type 1 Departments - Major A&E,261.795
2011-02-26T03:41:27Z,Type 1 Departments - Major A&E,252.456
2011-03-05T04:09:16Z,Type 1 Departments - Major A&E,260.401
2011-03-12T04:37:05Z,Type 1 Departments - Major A&E,275.567
2011-03-19T05:04:22Z,Type 1 Departments - Major A&E,278.671
2011-03-26T05:32:11Z,Type 1 Departments - Major A&E,284.182
2011-04-02T06:00:00Z,Type 1 Departments - Major A&E,286.302
2011-04-09T06:27:49Z,Type 1 Departments - Major A&E,283.175
2011-04-16T06:55:38Z,Type 1 Departments - Major A&E,268.128
2011-04-23T07:22:55Z,Type 1 Departments - Major A&E,279.872
2011-04-30T07:50:44Z,Type 1 Departments - Major A&E,283.893
2011-05-07T08:18:33Z,Type 1 Departments - Major A&E,280.121
2011-05-14T08:46:21Z,Type 1 Departments - Major A&E,276.368
2011-05-21T09:13:39Z,Type 1 Departments - Major A&E,275.401
2011-05-28T09:41:27Z,Type 1 Departments - Major A&E,271.297
2011-06-04T10:09:16Z,Type 1 Departments - Major A&E,272.805
2011-06-11T10:37:05Z,Type 1 Departments - Major A&E,267.281
2011-06-18T11:04:22Z,Type 1 Departments - Major A&E,270.572
2011-06-25T11:32:11Z,Type 1 Departments - Major A&E,273.469
2011-07-02T12:00:00Z,Type 1 Departments - Major A&E,283.999
2011-07-09T12:27:49Z,Type 1 Departments - Major A&E,279.033
